canonical_name,level,abbreviation,hierarchy_path_abbrev,hierarchy_path
DHS Office of the Chief Procurement Officer,2,OCPO,DHS,Department of Homeland Security>DHS Office of the Chief Procurement Officer
Citizen and Immigration Services,2,USCIS,DHS,Department of Homeland Security>Citizen and Immigration Services
Federal Law Enforcement Training Center,2,FLETC,DHS,Department of Homeland Security>Federal Law Enforcement Training Center
Immigration and Customs Enforcement,2,ICE,DHS,Department of Homeland Security>Immigration and Customs Enforcement
DHS Office of the Inspector General,2,OIG,DHS,Department of Homeland Security>DHS Office of the Inspector General
Immediate Office of the Under Secretary for Management,2,,DHS,Department of Homeland Security>Immediate Office of the Under Secretary for Management
DHS Office of the Chief Information Officer,2,CIO,DHS,Department of Homeland Security>DHS Office of the Chief Information Officer
Secret Service,2,USSS,DHS,Department of Homeland Security>Secret Service
DHS Office of Health Affairs,2,OHA,DHS,Department of Homeland Security>DHS Office of Health Affairs
Chief Security Officer,2,CSO,DHS,Department of Homeland Security>Chief Security Officer
Chief Financial Officer,2,OCFO,DHS,Department of Homeland Security>Chief Financial Officer
Cybersecurity and Infrastructure Security Agency,2,CISA,DHS,Department of Homeland Security>Cybersecurity and Infrastructure Security Agency
DHS Office of the Chief Human Capital Officer,2,OCHCO,DHS,Department of Homeland Security>DHS Office of the Chief Human Capital Officer
Aviation Division,3,AD,DOJ>DEA,Department of Justice>Drug Enforcement Administration>Aviation Division
DHS Office of the Chief Readiness Support Officer,2,OCRSO,DHS,Department of Homeland Security>DHS Office of the Chief Readiness Support Officer
Domestic Nuclear Detection Office,2,DNDO,DHS,Department of Homeland Security>Domestic Nuclear Detection Office
Office of Intelligence & Analysis,2,I&A,DHS,Department of Homeland Security>Office of Intelligence & Analysis
Countering Weapons of Mass Destruction,2,CWMD,DHS,Department of Homeland Security>Countering Weapons of Mass Destruction
Immediate Office of the Secretary,2,IOS,DHS,Department of Homeland Security>Immediate Office of the Secretary
Science and Technology Directorate,2,S&T,DHS,Department of Homeland Security>Science and Technology Directorate
FEMA Office of the Comptroller,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Office of the Comptroller
HUD Office of the Inspector General,2,OIG,HUD,Department of Housing and Urban Development>HUD Office of the Inspector General
HUD Office of the Chief Procurement Officer,2,CPO,HUD,Department of Housing and Urban Development>HUD Office of the Chief Procurement Officer
Orlando Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Southern Region>Orlando Airports Division Office
HUD Office of the Secretary,2,,HUD,Department of Housing and Urban Development>HUD Office of the Secretary
Memphis Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Southern Region>Memphis Airports Division Office
Government National Mortgage Association,2,GNMA,HUD,Department of Housing and Urban Development>Government National Mortgage Association
Federal Housing Finance Agency,2,FHFA,HUD,Department of Housing and Urban Development>Federal Housing Finance Agency
Public and Indian Housing Office,2,PIH,HUD,Department of Housing and Urban Development>Public and Indian Housing Office
Atlanta Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Southern Region>Atlanta Airports Division Office
HUD Office of Policy Development and Research,2,PDR,HUD,Department of Housing and Urban Development>HUD Office of Policy Development and Research
Chicago Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Great Lakes Region>Chicago Airports Division Office
Office of Healthy Homes and Lead Hazard Control,2,,HUD,Department of Housing and Urban Development>Office of Healthy Homes and Lead Hazard Control
HUD Office of Hearing and Appeals,2,OHA,HUD,Department of Housing and Urban Development>HUD Office of Hearing and Appeals
Office of Multifamily Housing Programs,3,MFH,HUD>FHA,Department of Housing and Urban Development>Federal Housing Administration>Office of Multifamily Housing Programs
Detroit Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Great Lakes Region>Detroit Airports Division Office
Dakota-Minn Airport Division Offfice,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Great Lakes Region>Dakota-Minn Airport Division Offfice
Native Village of Point Hope,2,,HUD,Department of Housing and Urban Development>Native Village of Point Hope
Texas Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Southwestern Region>Texas Airports Division Office
Louisiana/New Mexico Airport Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Southwestern Region>Louisiana/New Mexico Airport Division Office
Arkansas/Oklahoma Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Southwestern Region>Arkansas/Oklahoma Airports Division Office
Phoenix Airport Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Western Pacific Region>Phoenix Airport Division Office
Los Angeles Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Western Pacific Region>Los Angeles Airports Division Office
HUD Office of the Assistant Secretary for Administration,2,,HUD,Department of Housing and Urban Development>HUD Office of the Assistant Secretary for Administration
Office of Departmental Equal Employment Opportunity,2,ODEEO,HUD,Department of Housing and Urban Development>Office of Departmental Equal Employment Opportunity
San Francisco Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Western Pacific Region>San Francisco Airports Division Office
Honolulu Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Western Pacific Region>Honolulu Airports Division Office
Federal Housing Administration,2,FHA,HUD,Department of Housing and Urban Development>Federal Housing Administration
Office of Fair Housing and Equal Opportunity,2,FHEO,HUD,Department of Housing and Urban Development>Office of Fair Housing and Equal Opportunity
Housing Office of Single Family Housing,2,SFH,HUD,Department of Housing and Urban Development>Housing Office of Single Family Housing
HUD Office of Special Needs Assistance Programs,2,SNAPS,HUD,Department of Housing and Urban Development>HUD Office of Special Needs Assistance Programs
Denver Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Northwest Mountain Region>Denver Airports Division Office
Seattle Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Northwest Mountain Region>Seattle Airports Division Office
Assistant Secretary for Housing - Federal Housing Commissioner,2,,HUD,Department of Housing and Urban Development>Assistant Secretary for Housing - Federal Housing Commissioner
HUD Office of Healthcare Programs,2,OHP,HUD,Department of Housing and Urban Development>HUD Office of Healthcare Programs
HUD Office of the Chief Information Officer,2,CIO,HUD,Department of Housing and Urban Development>HUD Office of the Chief Information Officer
HUD Office of Field Policy and Management,2,,HUD,Department of Housing and Urban Development>HUD Office of Field Policy and Management
HUD Office of the Chief Financial Officer,2,OCFO,HUD,Department of Housing and Urban Development>HUD Office of the Chief Financial Officer
HUD Office of Risk Management and Regulatory Affairs,2,RMRA,HUD,Department of Housing and Urban Development>HUD Office of Risk Management and Regulatory Affairs
Helena Airports Division Office,4,,DOT>FAA>*,Department of Transportation>Federal Aviation Administration>Northwest Mountain Region>Helena Airports Division Office
Oklahoma City Area,3,,HHS>IHS,Department of Health and Human Services>Indian Health Service>Oklahoma City Area
Navajo Area,3,,HHS>IHS,Department of Health and Human Services>Indian Health Service>Navajo Area
HUD Office of the Chief Human Capital Officer,2,,HUD,Department of Housing and Urban Development>HUD Office of the Chief Human Capital Officer
Great Plains Area,3,,HHS>IHS,Department of Health and Human Services>Indian Health Service>Great Plains Area
Phoenix Area,3,,HHS>IHS,Department of Health and Human Services>Indian Health Service>Phoenix Area
Albuquerque Area,3,,HHS>IHS,Department of Health and Human Services>Indian Health Service>Albuquerque Area
Billings Area,3,,HHS>IHS,Department of Health and Human Services>Indian Health Service>Billings Area
HUD Office of Strategic Planning and Performance,3,SPPD,HUD>OCFO,Department of Housing and Urban Development>HUD Office of the Chief Financial Officer>HUD Office of Strategic Planning and Performance
Portland Area,3,,HHS>IHS,Department of Health and Human Services>Indian Health Service>Portland Area
HUD Office of General Counsel,2,OGC,HUD,Department of Housing and Urban Development>HUD Office of General Counsel
Bemidji Area,3,,HHS>IHS,Department of Health and Human Services>Indian Health Service>Bemidji Area
Nashville Area,3,,HHS>IHS,Department of Health and Human Services>Indian Health Service>Nashville Area
HUD Office of Finance and Budget,3,,HUD>OCFO,Department of Housing and Urban Development>HUD Office of the Chief Financial Officer>HUD Office of Finance and Budget
Tucson Area,3,,HHS>IHS,Department of Health and Human Services>Indian Health Service>Tucson Area
Office of Housing Counseling,3,HCC,HUD>SFH,Department of Housing and Urban Development>Housing Office of Single Family Housing>Office of Housing Counseling
Community Planning and Development,2,CPD,HUD,Department of Housing and Urban Development>Community Planning and Development
Federal Bureau of Investigation,2,FBI,DOJ,Department of Justice>Federal Bureau of Investigation
Drug Enforcement Administration,2,DEA,DOJ,Department of Justice>Drug Enforcement Administration
U.S. Marshals Service,2,USMS,DOJ,Department of Justice>U.S. Marshals Service
Bureau of Alcohol Tobacco Firearms and Explosives,2,ATF,DOJ,Department of Justice>Bureau of Alcohol Tobacco Firearms and Explosives
Bureau of Prisons,2,BOP,DOJ,Department of Justice>Bureau of Prisons
DOJ Office of the Inspector General,2,OIG,DOJ,Department of Justice>DOJ Office of the Inspector General
"Offices, Boards and Divisions",2,OBD,DOJ,"Department of Justice>Offices, Boards and Divisions"
